region,title,view_num,danmu,upload_time,up_author,bvid,video_url
社会,【卢克文工作室】奇怪的俄乌冲突，背后暗藏怎样的大国博弈？,769.9万,3.5万,2022-02-24,卢克文工作室,BV1WZ4y1k7aZ,www.bilibili.com/video/BV1WZ4y1k7aZ?from=search
环球,3月2日俄乌战争简报,113.4万,1.1万,2022-03-02,观察者网,BV1ZF411t7b7,www.bilibili.com/video/BV1ZF411t7b7?from=search
社会,【卢克文工作室】俄乌战争阶段性总结（上）：能省则省的俄罗斯军队，究竟有哪些战略打法？,260.3万,1.1万,2022-03-01,卢克文工作室,BV1Br4y1z716,www.bilibili.com/video/BV1Br4y1z716?from=search
社科·法律·心理,俄乌打架，中国网民互道傻逼最深刻【播客】,7.0万,605,2022-03-02,余不是大钊老师,BV1bY411G7pZ,www.bilibili.com/video/BV1bY411G7pZ?from=search
热点,俄乌伤亡数据首度曝光！中方紧急大规模撤侨，普京要与北约硬刚？,2.4万,66,2022-03-03,评论员李炜,BV1ab4y1x7mL,www.bilibili.com/video/BV1ab4y1x7mL?from=search
热点,他又来了！特朗普借俄乌局势狠批拜登：我们的领导人太蠢了,97.4万,2018,2022-02-28,视界中国CM,BV1C44y1T7m7,www.bilibili.com/video/BV1C44y1T7m7?from=search
热点,俄将领逼迫普京下台，坚决反对俄乌开战，为何普京当局无动于衷？,51.3万,419,2022-02-11,吕宁思,BV13R4y1L7He,www.bilibili.com/video/BV13R4y1L7He?from=search
热点,普京展开&quot;攻心战&quot;喊话乌军士兵：想想你们的父辈,418.6万,3527,2022-02-24,看看新闻Knews,BV123411L7yJ,www.bilibili.com/video/BV123411L7yJ?from=search
人文历史,【盘点】俄乌战争打响后，各国表态；朝鲜是真“汉子”,92.7万,1715,2022-02-25,闲知事,BV1Cb4y1s768,www.bilibili.com/video/BV1Cb4y1s768?from=search
热点,“俄乌战争”的本质，对中国有什么影响？,83.4万,3922,2022-02-28,杨叔洞察,BV1JL411N7EB,www.bilibili.com/video/BV1JL411N7EB?from=search
环球,一俄军坦克在被标枪导弹击中后坚持战斗，反手又摧毁两辆乌军坦克,37.8万,796,2022-03-03,环球网,BV1Ta411h7ko,www.bilibili.com/video/BV1Ta411h7ko?from=search
环球,分析人士：西方煽风点火干扰俄乌谈判,1.2万,5,2022-03-03,央视网,BV1eL411N71W,www.bilibili.com/video/BV1eL411N71W?from=search
环球,特朗普：俄乌冲突的原因在于我没连任,229.8万,3062,2022-02-24,深圳卫视直新闻,BV19S4y1F7fJ,www.bilibili.com/video/BV19S4y1F7fJ?from=search
社会,【卢克文工作室】俄乌战争阶段性总结（下）：收着打，推进慢？不适应现代化战争的俄罗斯军队,103.6万,5220,2022-03-02,卢克文工作室,BV19a41187Ww,www.bilibili.com/video/BV19a41187Ww?from=search
环球,被俘乌士兵镜头！脸上带血被俄士兵分发香烟 其中还有老人和女性,389.2万,1561,2022-02-25,环球网,BV1ma41187zM,www.bilibili.com/video/BV1ma41187zM?from=search
热点,俄乌决战前夕，美俄德乌先后打电话征求中方意见，王毅回应很直接,5047,7,2022-03-03,戎评说,BV18u411D72d,www.bilibili.com/video/BV18u411D72d?from=search
环球,俄乌谈崩了，俄军准备猛攻基辅，普京提出3大要求，否则绝不罢兵,16.5万,880,2022-03-01,邱震海,BV1Ea411h79S,www.bilibili.com/video/BV1Ea411h79S?from=search
搞笑,俄热门零食被买缺货，俄官方发视频感谢，网友：别整虚的赶紧上货！【俄乌局势】,1.0万,7,2022-03-03,一懿旨,BV1DU4y1Z7CB,www.bilibili.com/video/BV1DU4y1Z7CB?from=search
